"companies_number","companies_name","companies_name_url","companies_code","companies_code_url","companies_category","companies_sector","companies_sector_url"
"192","LOCAMERICA","https://www.ivalor.com.br/empresas/LCAM","LCAM3","https://www.ivalor.com.br/empresas/acoes/LCAM3","Mid Cap","Consumo Cíclico","https://www.ivalor.com.br/empresas/listagem?setor=27"
"193","METAL LEVE","https://www.ivalor.com.br/empresas/LEVE","LEVE3","https://www.ivalor.com.br/empresas/acoes/LEVE3","Small Cap","Consumo Cíclico","https://www.ivalor.com.br/empresas/listagem?setor=27"
"194","LOJAS HERING","https://www.ivalor.com.br/empresas/LHER","LHER4","https://www.ivalor.com.br/empresas/acoes/LHER4","Nano Cap","Financeiro e Outros","https://www.ivalor.com.br/empresas/listagem?setor=1"
"195","LIGHT S/A","https://www.ivalor.com.br/empresas/LIGT","LIGT3","https://www.ivalor.com.br/empresas/acoes/LIGT3","Small Cap","Utilidade Pública","https://www.ivalor.com.br/empresas/listagem?setor=25"
"196","LINX","https://www.ivalor.com.br/empresas/LINX","LINX3","https://www.ivalor.com.br/empresas/acoes/LINX3","Mid Cap","Tecnologia da Informação","https://www.ivalor.com.br/empresas/listagem?setor=31"
"197","ELETROPAR","https://www.ivalor.com.br/empresas/LIPR","LIPR3","https://www.ivalor.com.br/empresas/acoes/LIPR3","Micro Cap","Utilidade Pública","https://www.ivalor.com.br/empresas/listagem?setor=25"
"198","QUERO-QUERO","https://www.ivalor.com.br/empresas/LJQQ","LJQQ3","https://www.ivalor.com.br/empresas/acoes/LJQQ3","Small Cap","Consumo Cíclico","https://www.ivalor.com.br/empresas/listagem?setor=27"
"199","LIFEMED","https://www.ivalor.com.br/empresas/LMED","LMED3","https://www.ivalor.com.br/empresas/acoes/LMED3","-","Saúde","https://www.ivalor.com.br/empresas/listagem?setor=23"
"200","LOG COM PROP","https://www.ivalor.com.br/empresas/LOGG","LOGG3","https://www.ivalor.com.br/empresas/acoes/LOGG3","Small Cap","Financeiro","https://www.ivalor.com.br/empresas/listagem?setor=33"
"201","LOG-IN","https://www.ivalor.com.br/empresas/LOGN","LOGN3","https://www.ivalor.com.br/empresas/acoes/LOGN3","Small Cap","Bens Industriais","https://www.ivalor.com.br/empresas/listagem?setor=26"
"202","LOPES BRASIL","https://www.ivalor.com.br/empresas/LPSB","LPSB3","https://www.ivalor.com.br/empresas/acoes/LPSB3","Micro Cap","Financeiro","https://www.ivalor.com.br/empresas/listagem?setor=33"
"203","LOJAS RENNER","https://www.ivalor.com.br/empresas/LREN","LREN3","https://www.ivalor.com.br/empresas/acoes/LREN3","Big Cap","Consumo Cíclico","https://www.ivalor.com.br/empresas/listagem?setor=27"
"204","LUPATECH","https://www.ivalor.com.br/empresas/LUPA","LUPA3","https://www.ivalor.com.br/empresas/acoes/LUPA3","Nano Cap","Petróleo. Gás e Biocombustíveis","https://www.ivalor.com.br/empresas/listagem?setor=30"
"205","TREVISA","https://www.ivalor.com.br/empresas/LUXM","LUXM4","https://www.ivalor.com.br/empresas/acoes/LUXM4","Nano Cap","Bens Industriais","https://www.ivalor.com.br/empresas/listagem?setor=26"
"206","LOCAWEB","https://www.ivalor.com.br/empresas/LWSA","LWSA3","https://www.ivalor.com.br/empresas/acoes/LWSA3","Mid Cap","Tecnologia da Informação","https://www.ivalor.com.br/empresas/listagem?setor=31"
"207","CEMEPE","https://www.ivalor.com.br/empresas/MAPT","MAPT4","https://www.ivalor.com.br/empresas/acoes/MAPT4","Nano Cap","Outros","https://www.ivalor.com.br/empresas/listagem?setor=34"
"208","M.DIASBRANCO","https://www.ivalor.com.br/empresas/MDIA","MDIA3","https://www.ivalor.com.br/empresas/acoes/MDIA3","Mid Cap","Consumo não Cíclico","https://www.ivalor.com.br/empresas/listagem?setor=24"
"209","MOURA DUBEUX","https://www.ivalor.com.br/empresas/MDNE","MDNE3","https://www.ivalor.com.br/empresas/acoes/MDNE3","Micro Cap","Consumo Cíclico","https://www.ivalor.com.br/empresas/listagem?setor=27"
"210","IMC S/A","https://www.ivalor.com.br/empresas/MEAL","MEAL3","https://www.ivalor.com.br/empresas/acoes/MEAL3","Micro Cap","Consumo Cíclico","https://www.ivalor.com.br/empresas/listagem?setor=27"
"211","MERC FINANC","https://www.ivalor.com.br/empresas/MERC","MERC4","https://www.ivalor.com.br/empresas/acoes/MERC4","Micro Cap","Financeiro","https://www.ivalor.com.br/empresas/listagem?setor=33"
"212","MANGELS INDL","https://www.ivalor.com.br/empresas/MGEL","MGEL4","https://www.ivalor.com.br/empresas/acoes/MGEL4","Nano Cap","Materiais Básicos","https://www.ivalor.com.br/empresas/listagem?setor=29"
"213","MAGAZ LUIZA","https://www.ivalor.com.br/empresas/MGLU","MGLU3","https://www.ivalor.com.br/empresas/acoes/MGLU3","Mega Cap","Consumo Cíclico","https://www.ivalor.com.br/empresas/listagem?setor=27"
